External Library Name;Link to License;License Name;Copyright Notice Included (Yes/No);Source Code Included (Yes/No);Counsel LDAP and Authorization Date;repository_type;repository_URL;is_runtime;license_category
mock_instant-0.6.0;https://raw.githubusercontent.com/museun/mock_instant/v0.6.0/LICENSE.txt;0BSD;Yes;No;N/A;crates|github;https://github.com/museun/mock_instant;NOT_KNOWN;permissive
multimap-0.10.1;https://raw.githubusercontent.com/havarnov/multimap/master/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/havarnov/multimap;NOT_KNOWN;notice
nix-0.26.4;https://raw.githubusercontent.com/nix-rust/nix/v0.26.4/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/nix-rust/nix;NOT_KNOWN;notice
nix-0.30.1;https://raw.githubusercontent.com/nix-rust/nix/v0.30.1/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/nix-rust/nix;NOT_KNOWN;notice
nu-ansi-term-0.50.3;https://raw.githubusercontent.com/nushell/nu-ansi-term/v0.50.3/LICENSE;MIT;Yes;No;N/A;crates|github;https://github.com/nushell/nu-ansi-term;NOT_KNOWN;notice
num-traits-0.2.19;https://raw.githubusercontent.com/rust-num/num-traits/num-traits-0.2.19/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/rust-num/num-traits;NOT_KNOWN;notice
oci-spec-0.7.1;https://raw.githubusercontent.com/youki-dev/oci-spec-rs/v0.7.1/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/containers/oci-spec-rs;NOT_KNOWN;notice
once_cell-1.21.3;https://raw.githubusercontent.com/matklad/once_cell/v1.21.3/LICENSE-APACHE;MIT OR Apache-2.0;Yes;No;N/A;crates|github;https://github.com/matklad/once_cell;NOT_KNOWN;notice
opencontainers.umoci-0.4.7;https://raw.githubusercontent.com/opencontainers/umoci/v0.4.7/COPYING;Apache License 2.0;Yes;No;N/A;github;https://github.com/opencontainers/umoci;NOT_KNOWN;notice
opentelemetry-0.31.0;https://raw.githubusercontent.com/open-telemetry/opentelemetry-rust/v0.31.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry;NOT_KNOWN;notice
opentelemetry-http-0.31.0;https://raw.githubusercontent.com/open-telemetry/opentelemetry-rust/v0.31.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry-http;NOT_KNOWN;notice
opentelemetry-otlp-0.31.0;https://raw.githubusercontent.com/open-telemetry/opentelemetry-rust/v0.31.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry-otlp;NOT_KNOWN;notice
opentelemetry-proto-0.31.0;https://raw.githubusercontent.com/open-telemetry/opentelemetry-rust/v0.31.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry-proto;NOT_KNOWN;notice
opentelemetry_sdk-0.31.0;https://raw.githubusercontent.com/open-telemetry/opentelemetry-rust/v0.31.0/LICENSE;Apache-2.0;Yes;No;N/A;crates|github;https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry-sdk;NOT_KNOWN;notice
ordered-float-2.10.1;https://raw.githubusercontent.com/reem/rust-ordered-float/v2.10.1/LICENSE-MIT;MIT;Yes;No;N/A;crates|github;https://github.com/reem/rust-ordered-float;NOT_KNOWN;notice
